csn,Scenario,Choice_,RECRE,PRICE,CF,CF_car,CF_stay,CF_pt,CF_age,CF_male,CF_income,CF_child,CF_bike,BIKELANE,BIKESEP,DIST6,DIST3,FREQ_HIGHER,FREQ_HIGHEST,UNGUARDED,GUARDED,ID_1
1,1,1,1,5,1,0,1,5,28,1,2,1,1,1,0,0,1,0,0,0,0,1
1,2,0,1,5,1,0,1,5,28,1,2,1,1,0,0,1,0,0,0,0,1,1
1,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,3,3,1,0,1,5,28,1,2,1,1,0,0,0,0,0,0,0,0,1
2,2,1,2,1,1,0,1,5,28,1,2,1,1,1,0,1,0,1,0,0,1,1
2,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,1,1,5,1,0,1,5,28,1,2,1,1,0,1,0,0,1,0,0,1,1
3,2,0,1,3,1,0,1,5,28,1,2,1,1,1,0,0,1,1,0,0,1,1
3,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,1,3,4,1,0,1,5,28,1,2,1,1,0,0,1,0,1,0,0,1,1
4,2,0,2,6,1,0,1,5,28,1,2,1,1,1,0,0,0,0,1,0,0,1
4,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1,0,2,2,1,0,1,5,28,1,2,1,1,0,1,0,1,1,0,0,1,1
5,2,1,3,2,1,0,1,5,28,1,2,1,1,0,1,0,0,0,0,0,0,1
5,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1,1,3,4,1,0,1,5,28,1,2,1,1,1,0,0,1,0,1,1,0,1
6,2,0,2,1,1,0,1,5,28,1,2,1,1,0,1,1,0,0,0,0,0,1
6,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1,0,2,6,1,0,1,5,28,1,2,1,1,0,1,0,0,0,1,1,0,1
7,2,1,3,4,1,0,1,5,28,1,2,1,1,0,1,0,1,1,0,1,0,1
7,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,1,1,1,1,0,1,5,28,1,2,1,1,1,0,1,0,0,1,1,0,1
8,2,0,1,3,1,0,1,5,28,1,2,1,1,0,0,0,1,0,1,1,0,1
8,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,0,2,6,1,0,1,5,28,1,2,1,1,0,0,1,0,0,0,0,0,1
9,2,1,3,2,1,0,1,5,28,1,2,1,1,0,0,0,0,0,1,1,0,1
9,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,1,1,2,5,1,0,1,4,27,0,1,2,1,1,0,1,0,0,0,0,1,2
10,2,0,2,1,1,0,1,4,27,0,1,2,1,0,0,0,1,1,0,0,0,2
10,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
11,1,0,2,5,1,0,1,4,27,0,1,2,1,0,0,0,0,0,0,1,0,2
11,2,1,1,3,1,0,1,4,27,0,1,2,1,0,1,1,0,0,1,0,0,2
11,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
12,1,0,1,3,1,0,1,4,27,0,1,2,1,1,0,0,0,1,0,0,0,2
12,2,1,2,5,1,0,1,4,27,0,1,2,1,0,1,0,1,0,1,0,0,2
12,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13,1,0,1,4,1,0,1,4,27,0,1,2,1,0,0,0,0,1,0,1,0,2
13,2,1,3,2,1,0,1,4,27,0,1,2,1,1,0,1,0,0,0,1,0,2
13,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
14,1,0,1,4,1,0,1,4,27,0,1,2,1,0,1,0,1,1,0,0,0,2
14,2,1,2,1,1,0,1,4,27,0,1,2,1,0,0,0,0,1,0,1,0,2
14,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15,1,1,3,2,1,0,1,4,27,0,1,2,1,0,0,0,1,0,1,0,1,2
15,2,0,3,6,1,0,1,4,27,0,1,2,1,0,0,1,0,1,0,1,0,2
15,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
16,1,0,3,6,1,0,1,4,27,0,1,2,1,0,1,0,1,0,1,0,0,2
16,2,1,1,3,1,0,1,4,27,0,1,2,1,0,1,0,0,0,1,0,1,2
16,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17,1,0,3,6,1,0,1,4,27,0,1,2,1,1,0,1,0,0,1,0,1,2
17,2,1,3,2,1,0,1,4,27,0,1,2,1,1,0,0,1,0,0,0,1,2
17,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
18,1,1,2,1,1,0,1,4,27,0,1,2,1,0,1,1,0,0,0,1,0,2
18,2,0,1,4,1,0,1,4,27,0,1,2,1,1,0,0,0,0,0,0,1,2
18,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
