individual,mode,activity,alternative,choice,ASC,var11,var21,var31,var12,var22,var32,var13,var23,var33,var14,var24,var34,var1_1,var1_2,var1_3,var2_1,var2_2,var2_3,var3_1,var3_2,var3_3
0,NMT,ICT,NMT_ICT,0,0,6.496714153,6.022885921,-3.430070159,0,0,0,0,0,0,0,0,0,7.423224739,0.555684729,3.523331904,0,0,0,0,0,0
0,NMT,NICT,NMT_NICT,0,0,6.496714153,6.022885921,-3.430070159,0,0,0,0,0,0,0,0,0,0,0,0,5.685818563,2.517453388,6.904873835,0,0,0
0,NMT,NA1,NMT_NA1,0,0,6.496714153,6.022885921,-3.430070159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.182972675,-6.55556952,0.683796107
0,IPT,ICT,IPT_ICT,0,0,0,0,0,6.287632339,3.52376952,3.725954011,0,0,0,0,0,0,7.423224739,0.555684729,3.523331904,0,0,0,0,0,0
0,IPT,NICT,IPT_NICT,0,0,0,0,0,6.287632339,3.52376952,3.725954011,0,0,0,0,0,0,0,0,0,5.685818563,2.517453388,6.904873835,0,0,0
0,IPT,NA1,IPT_NA1,0,0,0,0,0,6.287632339,3.52376952,3.725954011,0,0,0,0,0,0,0,0,0,0,0,0,3.182972675,-6.55556952,0.683796107
0,PV,ICT,PV_ICT,0,0,0,0,0,0,0,0,7.292881841,3.300082073,-0.490847926,0,0,0,7.423224739,0.555684729,3.523331904,0,0,0,0,0,0
0,PV,NICT,PV_NICT,0,0,0,0,0,0,0,0,7.292881841,3.300082073,-0.490847926,0,0,0,0,0,0,5.685818563,2.517453388,6.904873835,0,0,0
0,PV,NA1,PV_NA1,0,0,0,0,0,0,0,0,7.292881841,3.300082073,-0.490847926,0,0,0,0,0,0,0,0,0,3.182972675,-6.55556952,0.683796107
0,BUS,ICT,BUS_ICT,0,0,0,0,0,0,0,0,0,0,0,6.714634602,3.822893433,3.99211967,7.423224739,0.555684729,3.523331904,0,0,0,0,0,0
0,BUS,NICT,BUS_NICT,1,0,0,0,0,0,0,0,0,0,0,6.714634602,3.822893433,3.99211967,0,0,0,5.685818563,2.517453388,6.904873835,0,0,0
0,BUS,NA1,BUS_NA1,0,0,0,0,0,0,0,0,0,0,0,6.714634602,3.822893433,3.99211967,0,0,0,0,0,0,3.182972675,-6.55556952,0.683796107
1,NMT,ICT,NMT_ICT,0,0,5.861735699,7.99301679,7.094660217,0,0,0,0,0,0,0,0,0,6.567407021,-4.199178164,1.070202678,0,0,0,0,0,0
1,NMT,NICT,NMT_NICT,0,0,5.861735699,7.99301679,7.094660217,0,0,0,0,0,0,0,0,0,0,0,0,4.019978058,3.262387127,3.301567759,0,0,0
1,NMT,NA1,NMT_NA1,1,0,5.861735699,7.99301679,7.094660217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.751633459,5.881320059,-1.991564215
1,IPT,ICT,IPT_ICT,0,0,0,0,0,7.692016897,5.444874917,4.172704417,0,0,0,0,0,0,6.567407021,-4.199178164,1.070202678,0,0,0,0,0,0
1,IPT,NICT,IPT_NICT,0,0,0,0,0,7.692016897,5.444874917,4.172704417,0,0,0,0,0,0,0,0,0,4.019978058,3.262387127,3.301567759,0,0,0
1,IPT,NA1,IPT_NA1,0,0,0,0,0,7.692016897,5.444874917,4.172704417,0,0,0,0,0,0,0,0,0,0,0,0,4.751633459,5.881320059,-1.991564215
1,PV,ICT,PV_ICT,0,0,0,0,0,0,0,0,4.149172571,1.735805636,2.744125021,0,0,0,6.567407021,-4.199178164,1.070202678,0,0,0,0,0,0
1,PV,NICT,PV_NICT,0,0,0,0,0,0,0,0,4.149172571,1.735805636,2.744125021,0,0,0,0,0,0,4.019978058,3.262387127,3.301567759,0,0,0
1,PV,NA1,PV_NA1,0,0,0,0,0,0,0,0,4.149172571,1.735805636,2.744125021,0,0,0,0,0,0,0,0,0,4.751633459,5.881320059,-1.991564215
1,BUS,ICT,BUS_ICT,0,0,0,0,0,0,0,0,0,0,0,3.467661059,1.636721777,4.78759958,6.567407021,-4.199178164,1.070202678,0,0,0,0,0,0
1,BUS,NICT,BUS_NICT,0,0,0,0,0,0,0,0,0,0,0,3.467661059,1.636721777,4.78759958,0,0,0,4.019978058,3.262387127,3.301567759,0,0,0
1,BUS,NA1,BUS_NA1,0,0,0,0,0,0,0,0,0,0,0,3.467661059,1.636721777,4.78759958,0,0,0,0,0,0,4.751633459,5.881320059,-1.991564215
2,NMT,ICT,NMT_ICT,0,0,6.647688538,5.790654438,-1.17145442,0,0,0,0,0,0,0,0,0,6.301912411,2.391115973,2.10244342,0,0,0,0,0,0
2,NMT,NICT,NMT_NICT,0,0,6.647688538,5.790654438,-1.17145442,0,0,0,0,0,0,0,0,0,0,0,0,3.702424529,4.305278119,4.355165834,0,0,0
2,NMT,NA1,NMT_NA1,0,0,6.647688538,5.790654438,-1.17145442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.040124312,5.245670728,3.151481128
2,IPT,ICT,IPT_ICT,0,0,0,0,0,5.865375051,5.642121004,5.244548991,0,0,0,0,0,0,6.301912411,2.391115973,2.10244342,0,0,0,0,0,0
