,ID,CHID,Choice,Age,Gender,Household,Education,Employment,WFH,Income,Follow-up,Residential,Technology,Disability,Driving,Bike,Scooter,Multimode,Public_Transit,D_walk,D_car,D_bike,Long_w_trips,Long_r_trips,Long_s_trips,PT_averse,PT_1,Ebike_1,Rideshare_1,Addon_1,PT_2,Ebike_2,Rideshare_2,Addon_2,PT_3,Ebike_3,Rideshare_3,Addon_3,PT_4,Ebike_4,Rideshare_4,Addon_4,Somerset,Lockyer_Valley,Scenic_Rim,Noosa,Redland,Toowoomba,Ipswich,Sunshine_coast,Logan,Moreton_bay,Gold_coast,Brisbane,LGA_1,LGA_2,LGA_3,Age_1,Age_2,Age_3,Live_alone,Live_housemate,Fam_nokid,Fam_kid,Fam_singl,Full_time,Part_time,Casual,Home_duties,Unemployed,Full_student,Part_student,Retired,Income_1,Income_2,Income_3,MaaS_1,MaaS_2,MaaS_3,MaaS_4,av_1,av_2,av_3,av_4,Price_1,Price_2,Price_3,Price_4
0,1,1,4,5,0,0,0,7,0,0,0,6,1,0,2,2,1,1,0,1,1,0,1,1,1,1,2,1,2,0,3,2,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,65,75,35,0
1,1,2,4,5,0,0,0,7,0,0,0,6,1,0,2,2,1,1,0,1,1,0,1,1,1,1,4,1,3,1,3,2,1,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,65,60,50,0
2,1,3,4,5,0,0,0,7,0,0,0,6,1,0,2,2,1,1,0,1,1,0,1,1,1,1,1,3,0,2,0,0,1,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,45,25,55,0
3,2,1,4,2,0,3,1,0,2,5,0,4,2,0,2,2,2,0,1,0,0,0,1,1,0,0,4,1,3,2,4,3,2,1,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,65,75,60,0
4,2,2,4,2,0,3,1,0,2,5,0,4,2,0,2,2,2,0,1,0,0,0,1,1,0,0,1,2,0,2,2,0,2,2,2,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,45,55,75,0
5,2,3,4,2,0,3,1,0,2,5,0,4,2,0,2,2,2,0,1,0,0,0,1,1,0,0,3,0,0,1,0,0,1,3,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,30,25,50,0
6,3,1,4,5,0,2,0,7,0,1,0,9,1,0,2,2,2,0,0,0,1,0,1,1,1,1,1,1,2,2,4,2,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,60,60,40,0
7,3,2,4,5,0,2,0,7,0,1,0,9,1,0,2,2,2,0,0,0,1,0,1,1,1,1,3,3,3,0,1,0,2,1,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,75,50,60,0
8,3,3,4,5,0,2,0,7,0,1,0,9,1,0,2,2,2,0,0,0,1,0,1,1,1,1,2,0,3,0,3,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,55,50,35,0
9,4,1,4,5,1,2,0,7,0,0,0,9,1,0,2,1,1,0,0,0,0,0,1,0,0,0,2,2,2,3,0,1,2,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,75,50,55,0
10,4,2,4,5,1,2,0,7,0,0,0,9,1,0,2,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,3,2,0,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,35,50,60,0
11,4,3,4,5,1,2,0,7,0,0,0,9,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,3,2,3,4,0,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,60,55,55,0
12,5,1,4,3,0,4,3,0,3,2,0,5,1,0,2,2,1,1,1,0,0,0,1,1,0,1,3,3,0,2,1,2,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,50,70,60,0
13,5,2,4,3,0,4,3,0,3,2,0,5,1,0,2,2,1,1,1,0,0,0,1,1,0,1,0,0,2,1,2,1,0,3,3,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,40,40,50,0
14,5,3,4,3,0,4,3,0,3,2,0,5,1,0,2,2,1,1,1,0,0,0,1,1,0,1,0,0,0,0,4,2,3,1,4,3,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,15,75,60,0
15,6,1,1,4,0,0,0,7,0,0,0,9,3,0,2,2,2,1,0,0,0,0,0,0,0,1,3,0,1,0,3,1,3,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,40,65,60,0
16,6,2,3,4,0,0,0,7,0,0,0,9,3,0,2,2,2,1,0,0,0,0,0,0,0,1,0,2,2,2,4,3,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,60,50,55,0
17,6,3,3,4,0,0,0,7,0,0,0,9,3,0,2,2,2,1,0,0,0,0,0,0,0,1,2,3,0,1,4,0,2,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,50,55,65,0
18,7,1,3,2,0,0,4,0,0,1,0,11,1,0,2,2,2,0,0,0,1,0,1,0,0,0,0,3,1,3,3,2,2,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,45,75,40,0
19,7,2,2,2,0,0,4,0,0,1,0,11,1,0,2,2,2,0,0,0,1,0,1,0,0,0,3,1,3,1,1,2,1,2,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,65,55,50,0
20,7,3,3,2,0,0,4,0,0,1,0,11,1,0,2,2,2,0,0,0,1,0,1,0,0,0,2,3,3,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,75,40,25,0
21,8,1,4,5,1,2,3,7,0,2,0,6,0,0,2,0,1,1,1,0,0,0,0,1,0,1,1,2,0,2,3,1,3,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,45,65,75,0
