id,alt,ich,och,icca,occa,income,inc.cooling,inc.room,int.cooling,choice
1,1,9.7,2.26,27.28,2.95,20,20,0,1,4
1,2,11.36,1.73,27.28,2.95,20,20,0,1,4
1,3,7.86,4.09,27.28,2.95,20,20,0,1,4
1,4,8.79,3.85,27.28,2.95,20,20,20,1,4
1,5,24.08,2.26,0,0,20,0,0,0,4
1,6,24.5,4.09,0,0,20,0,0,0,4
1,7,7.37,3.85,0,0,20,0,20,0,4
2,1,8.77,2.3,26.49,1.63,50,50,0,1,7
2,2,9.37,1.65,26.49,1.63,50,50,0,1,7
2,3,8.69,2.69,26.49,1.63,50,50,0,1,7
2,4,7.09,3.45,26.49,1.63,50,50,50,1,7
2,5,28,2.3,0,0,50,0,0,0,7
2,6,32.71,2.69,0,0,50,0,0,0,7
2,7,9.33,3.45,0,0,50,0,50,0,7
3,1,7.43,2.28,22.63,2.18,50,50,0,1,6
3,2,11.7,1.44,22.63,2.18,50,50,0,1,6
3,3,8.86,5.25,22.63,2.18,50,50,0,1,6
3,4,6.94,4.35,22.63,2.18,50,50,50,1,6
3,5,25.71,2.28,0,0,50,0,0,0,6
3,6,31.68,5.25,0,0,50,0,0,0,6
3,7,8.14,4.35,0,0,50,0,50,0,6
4,1,9.18,2.62,25.33,2.7,50,50,0,1,6
4,2,12.13,1.93,25.33,2.7,50,50,0,1,6
4,3,8.93,4.89,25.33,2.7,50,50,0,1,6
4,4,7.22,4.85,25.33,2.7,50,50,50,1,6
4,5,29.72,2.62,0,0,50,0,0,0,6
4,6,26.73,4.89,0,0,50,0,0,0,6
4,7,8.04,4.85,0,0,50,0,50,0,6
5,1,8.05,2.52,25.45,2.77,60,60,0,1,6
5,2,10.51,1.63,25.45,2.77,60,60,0,1,6
5,3,7.02,3.71,25.45,2.77,60,60,0,1,6
5,4,8.44,3.64,25.45,2.77,60,60,60,1,6
5,5,23.9,2.52,0,0,60,0,0,0,6
5,6,28.35,3.71,0,0,60,0,0,0,6
5,7,7.15,3.64,0,0,60,0,60,0,6
6,1,9.32,1.99,19.93,2.68,30,30,0,1,6
6,2,12.57,1.3,19.93,2.68,30,30,0,1,6
6,3,8.03,3.2,19.93,2.68,30,30,0,1,6
6,4,6.22,4.3,19.93,2.68,30,30,30,1,6
6,5,27.02,1.99,0,0,30,0,0,0,6
6,6,21.37,3.2,0,0,30,0,0,0,6
6,7,8.6,4.3,0,0,30,0,30,0,6
7,1,7.11,2.06,27.04,2.12,30,30,0,1,5
7,2,12.39,1.52,27.04,2.12,30,30,0,1,5
7,3,8.78,3.74,27.04,2.12,30,30,0,1,5
7,4,7.36,4.02,27.04,2.12,30,30,30,1,5
7,5,22.93,2.06,0,0,30,0,0,0,5
7,6,28.63,3.74,0,0,30,0,0,0,5
7,7,6.41,4.02,0,0,30,0,30,0,5
8,1,9.38,2.42,18.1,2.95,50,50,0,1,7
8,2,8.93,1.63,18.1,2.95,50,50,0,1,7
8,3,7.48,4.59,18.1,2.95,50,50,0,1,7
8,4,6.72,4.11,18.1,2.95,50,50,50,1,7
8,5,26.24,2.42,0,0,50,0,0,0,7
8,6,27.86,4.59,0,0,50,0,0,0,7
8,7,7.3,4.11,0,0,50,0,50,0,7
9,1,8.08,2.36,22.56,2.38,40,40,0,1,6
9,2,11.16,1.3,22.56,2.38,40,40,0,1,6
9,3,7.39,4.07,22.56,2.38,40,40,0,1,6
9,4,8.79,3.53,22.56,2.38,40,40,40,1,6
9,5,23.02,2.36,0,0,40,0,0,0,6
9,6,22.6,4.07,0,0,40,0,0,0,6
9,7,7.85,3.53,0,0,40,0,40,0,6
10,1,6.24,2.24,25.75,2.08,60,60,0,1,6
10,2,8.28,1.77,25.75,2.08,60,60,0,1,6
10,3,4.88,4.27,25.75,2.08,60,60,0,1,6
10,4,7.46,5.14,25.75,2.08,60,60,60,1,6
