GROUP,SURVEY,SP,ID,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,CAR_AV,SM_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,CHOICE,TRAIN_GA1,SM_GA1,CAR_GA1,CAR_HE,CAR_SEATS,TRAIN_SEATS,OBS_ID,alternative,alt_mode,alt_purpose,choice,TT,CO,HE,SEATS,GA1
2,0,1,1,COMM,0,1,1,0,3,0,2,0,2,1,1,1,1,0.0,0.0,0.0,0.63,0.52,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,1,SM_COMM,SM,COMM,1,0.63,0.52,0.2,0,0.0
2,0,1,1,COMM,0,1,1,0,3,0,2,0,2,1,1,1,1,0.0,0.0,0.0,0.6,0.49,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,2,SM_COMM,SM,COMM,1,0.6,0.49,0.1,0,0.0
2,0,1,1,COMM,0,1,1,0,3,0,2,0,2,1,1,1,1,0.0,0.0,0.0,0.67,0.58,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,3,SM_COMM,SM,COMM,1,0.67,0.58,0.3,0,0.0
2,0,1,1,COMM,0,1,1,0,3,0,2,0,2,1,1,1,1,0.0,0.0,0.0,0.63,0.52,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,4,SM_COMM,SM,COMM,1,0.63,0.52,0.2,0,0.0
2,0,1,1,COMM,0,1,1,0,3,0,2,0,2,1,1,1,1,0.0,0.0,0.0,0.63,0.42,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,5,SM_COMM,SM,COMM,1,0.63,0.42,0.2,0,0.0
2,0,1,1,COMM,0,1,1,0,3,0,2,0,2,1,1,1,1,0.0,0.0,0.0,0.6,0.49,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,6,SM_COMM,SM,COMM,1,0.6,0.49,0.1,0,0.0
2,0,1,1,COMM,0,1,1,0,3,0,2,0,2,1,1,1,1,0.0,0.0,0.0,0.67,0.58,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,7,SM_COMM,SM,COMM,1,0.67,0.58,0.1,0,0.0
2,0,1,1,COMM,0,1,1,0,3,0,2,0,2,1,1,1,1,0.0,0.0,0.0,0.67,0.43,0.3,0,0.0,0.0,TRAIN,0.0,0.0,0,0,0,0,8,SM_COMM,SM,COMM,0,0.67,0.43,0.3,0,0.0
2,0,1,1,COMM,0,1,1,0,3,0,2,0,2,1,1,1,1,0.0,0.0,0.0,0.6,0.46,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,9,SM_COMM,SM,COMM,1,0.6,0.46,0.1,0,0.0
2,0,1,2,COMM,0,1,1,1,2,0,1,0,22,1,1,0,1,0.0,0.0,0.0,0.76,0.7,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,10,SM_COMM,SM,COMM,1,0.76,0.7,0.2,0,0.0
2,0,1,2,COMM,0,1,1,1,2,0,1,0,22,1,1,0,1,0.0,0.0,0.0,0.7,0.66,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,11,SM_COMM,SM,COMM,1,0.7,0.66,0.1,0,0.0
2,0,1,2,COMM,0,1,1,1,2,0,1,0,22,1,1,0,1,0.0,0.0,0.0,0.84,0.82,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,12,SM_COMM,SM,COMM,1,0.84,0.82,0.3,0,0.0
2,0,1,2,COMM,0,1,1,1,2,0,1,0,22,1,1,0,1,0.0,0.0,0.0,0.76,0.72,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,13,SM_COMM,SM,COMM,1,0.76,0.72,0.2,0,0.0
2,0,1,2,COMM,0,1,1,1,2,0,1,0,22,1,1,0,1,0.0,0.0,0.0,0.76,0.53,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,14,SM_COMM,SM,COMM,1,0.76,0.53,0.2,0,0.0
2,0,1,2,COMM,0,1,1,1,2,0,1,0,22,1,1,0,1,0.0,0.0,0.0,0.7,0.66,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,15,SM_COMM,SM,COMM,1,0.7,0.66,0.1,0,0.0
2,0,1,2,COMM,0,1,1,1,2,0,1,0,22,1,1,0,1,0.0,0.0,0.0,0.84,0.82,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,16,SM_COMM,SM,COMM,1,0.84,0.82,0.1,0,0.0
2,0,1,2,COMM,0,1,1,1,2,0,1,0,22,1,1,0,1,0.0,0.0,0.0,0.84,0.57,0.3,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,17,SM_COMM,SM,COMM,1,0.84,0.57,0.3,0,0.0
2,0,1,2,COMM,0,1,1,1,2,0,1,0,22,1,1,0,1,0.0,0.0,0.0,0.7,0.62,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,18,SM_COMM,SM,COMM,1,0.7,0.62,0.1,0,0.0
2,0,1,3,COMM,0,1,1,1,2,1,2,0,10,25,1,1,1,0.0,0.0,0.0,0.29,0.35,0.1,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,19,SM_COMM,SM,COMM,1,0.29,0.35,0.1,0,0.0
2,0,1,3,COMM,0,1,1,1,2,1,2,0,10,25,1,1,1,0.0,0.0,0.0,0.25,0.38,0.2,0,0.0,0.0,SM,0.0,0.0,0,0,0,0,20,SM_COMM,SM,COMM,1,0.25,0.38,0.2,0,0.0
