,Unnamed: 0,ID,Gender,Age,Education,Income,Pay_Method,App_Frq,Disability,Drv_Exp,Drv_Frq,Prk_Frq,Payment,Information,Reminder,Price,Choice,CHID,ALT,Tap,Voice,Automatic,ParkMeter,No_info,Availabile,Avail_Traffic,No_Remind,Remind,App_Users,Regular_Prk,Regular_App,Under_35,PRF1,PRF2,PRF3,PRF4,TIME1,TIME2,TIME3,TIME4,PRV1,PRV2,PRV3,Interaction,Interaction1,Interaction2,Interaction3,Interaction4,new_Age,new_PRF1,new_TIME4,Interaction5,Interaction6,new_AgexParkMeter,PRFxParkMeter,TIMExParkMeter,EducationxParkMeter,Drv_ExpxParkMeter,Prk_FrqxParkMeter
0,0,1,1,3,5,3,2,1,1,4,2,0,3,3,1,35,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,4,0,0,2,0,2,2,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,1,1,1,3,5,3,2,1,1,4,2,0,1,3,1,30,1,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,2,0,2,2,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2,2,1,1,3,5,3,2,1,1,4,2,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,2,1,1,2,1,0,1,5,4,1,0,1,0,1,1,0,1,5,4,0
3,3,1,1,3,5,3,2,1,1,4,2,0,2,1,2,40,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,2,0,2,2,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4,4,1,1,3,5,3,2,1,1,4,2,0,3,2,1,30,1,2,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4,0,0,2,0,2,2,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
5,5,1,1,3,5,3,2,1,1,4,2,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,2,1,1,2,1,0,1,5,4,1,0,1,0,1,1,0,1,5,4,0
6,6,1,1,3,5,3,2,1,1,4,2,0,1,1,2,40,0,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,2,0,2,2,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
7,7,1,1,3,5,3,2,1,1,4,2,0,3,2,1,30,1,3,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4,0,0,2,0,2,2,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
8,8,1,1,3,5,3,2,1,1,4,2,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,2,1,1,2,1,0,1,5,4,1,0,1,0,1,1,0,1,5,4,0
9,9,1,1,3,5,3,2,1,1,4,2,0,2,3,2,50,0,4,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,2,0,2,2,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10,10,1,1,3,5,3,2,1,1,4,2,0,1,2,2,45,1,4,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,2,0,2,2,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
11,11,1,1,3,5,3,2,1,1,4,2,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,2,1,1,2,1,0,1,5,4,1,0,1,0,1,1,0,1,5,4,0
