recorded_date,response_id,bridge_used,bridge_preference,reason_not_used,reason_not_used_other,trip_start_postcode,trip_end_postcode,travel_mode,trip_reason,trip_reason_other,travel_group,trip_frequency,impact_time,impact_comfort,impact_safety,impact_connectivity,pattern_change_mode,pattern_change_time,pattern_change_freq,pattern_change_places,trip_alternative,age,gender,gender_other,postcode,education,employment_status,currently_studying,drivers_licence,household_under15,household_15_17,household_18plus,bridge_feedback
2025-04-30 15:10:52,R_4uVOHxPdUw7dRH2,I have not used any of the above,,Not interested,,,,,,,,,,,,,,,,,,25-29,Female,,4000.0,Years 10/11/12,Student receiving Youth Allowance/ Stipend,No,Motorcycle licence,1,2,2,hh
2025-05-08 16:51:03,R_4Vt03Xvh3pEnHNv,Neville Bonner Bridge,,,,,,,,,,,,,,,,,,,,,Female,,,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,0,
2025-05-12 07:25:51,R_99ahBOGxgKI7a5G,Breakfast/ Yowoggera Bridge,,,,4006.0,4006.0,Walk ,Fitness/exercise,,alone,Few times a week,,,,,Yes,Yes,Yes,Yes,Used a longer route,25-29,Female,,4006.0,Bachelor Degree,Employed (paid work) typically working less than 35 hours a week,No,Car licence,1,0,0,
2025-05-12 10:34:57,R_9sf52LkjFr0Nr1f,"Neville Bonner Bridge,Breakfast/ Yowoggera Bridge",Neville Bonner Bridge,,,4101.0,4000.0,,"Other activity, please specify",Pub crawl,with two other persons,Rarely,,,,,No,No,No,No,Used a longer route,18-24,Male,,4152.0,Certificate III & IV,Employed (paid work) typically working 35 hours or more in a week,No,"Car licence,Motorcycle licence,Other Licence",0,0,3,"Literally the only difference is that I cross from Southbank to the city and back there rather than the cultural center busway bridge if I am on the side that's slightly more convenient, even then it's probably only about half the time. It was honestly a massive waste of money"
2025-05-12 10:40:23,R_4phdrnNwfrcx6QW,"Kangaroo Point Bridge,Neville Bonner Bridge",Neville Bonner Bridge,,,4001.0,4000.0,,Commute to study,,alone,Few times a month,,,,,Maybe,Maybe,Maybe,Maybe,Used a longer route,18-24,Male,,4217.0,Advanced Diploma and Diploma,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,0,0,3,
2025-05-12 10:44:38,R_9I43qQYdLwKvoA4,Kangaroo Point Bridge,,,,4102.0,4000.0,Walk ,To go to a restaurant/ eat/drink,,alone,Few times a month,,,,,Maybe,No,No,Maybe,Travelled to someplace else for the same purpose/reason/activity,25-29,Male,,4102.0,Bachelor Degree,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,0,0,2,"Reducing times, new walk ways "
2025-05-12 10:48:19,R_9CZBE9LfSNi6cq0,"Kangaroo Point Bridge,Neville Bonner Bridge,Breakfast/ Yowoggera Bridge",Kangaroo Point Bridge,,,4105.0,4032.0, Pushbike  ,Fitness/exercise,,alone,Few times a week,,,,,No,Yes,Yes,Yes,Used a car (as a driver),18-24,Male,,4105.0,Years 10/11/12,"Employed (paid work) typically working less than 35 hours a week,Student receiving Youth Allowance/ Stipend,Volunteer/ unpaid work",Yes,Car licence,4,0,4,
2025-05-12 10:53:48,R_9HSawWAl4ndAXPO,I have not used any of the above,,Does not connect places where I typically go,,,,,,,,,,,,,,,,,,18-24,Female,,4114.0,Certificate III & IV,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,0,0,2,The Bridge has information signs which tell of the connection to the place with Indigenous culture and its importance as a gathering site. The bridge itself is wide and easy to cross with clear lanes for pedestrians and other traffic. Making easy access to Newstead and Hamilton 
2025-05-12 10:56:10,R_91ZA2AtDusnxSTh,Kangaroo Point Bridge,,,,4102.0,4102.0,Walk ,Fitness/exercise,,alone,Few times a week,,,,,Yes,No,Maybe,Yes,Travelled to someplace else for the same purpose/reason/activity,18-24,Female,,4103.0,Years 10/11/12,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,0,1,3,
2025-05-12 11:03:59,R_9Cxqh9sc1qqgwVg,Kangaroo Point Bridge,,,,4169.0,4000.0,"Other mode, please specify ____________________________",Commute to my workplace,,alone,Few times a week,,,,,No,Maybe,Yes,Maybe,"Used Taxi/RideShare (Uber, Didi, etc)",35-39,Female,,4169.0,Postgraduate Degree,"Employed (paid work) typically working less than 35 hours a week,Prefer not to answer",Yes,Car licence,4,0,4,
2025-05-12 11:08:10,R_9Mo1IiprAIeC3jX,Kangaroo Point Bridge,,,,4000.0,4169.0,Walk ,To visit a park,,with one other person,Few times a month,,,,,Yes,Yes,No,No,Used a bus,30-34,Female,,4000.0,Bachelor Degree,Employed (paid work) typically working less than 35 hours a week,Yes,No licence,0,0,4,Thank you
2025-05-12 11:09:49,R_9ghzaDKJwwAbLih,"Neville Bonner Bridge,Breakfast/ Yowoggera Bridge",Neville Bonner Bridge,,,4101.0,4000.0,,To go to a restaurant/ eat/drink,,with one other person,Rarely,,,,,Yes,Yes,Yes,Yes,Used a car (as passenger),35-39,Male,,4101.0,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,No,"Car licence,Motorcycle licence",1,0,0,
2025-05-12 11:31:33,R_4PdByaHclvis6EF,Kangaroo Point Bridge,,,,4169.0,4006.0,Personal E-bike  ,Commute to my workplace,,alone,Daily,,,,,Maybe,No,No,No,Used a car (as a driver),30-34,Male,,4006.0,Postgraduate Degree,Prefer not to answer,Yes,Car licence,0,0,1,
2025-05-12 11:32:12,R_4EE1LFi68gKeti4,Kangaroo Point Bridge,,,,4170.0,4006.0,Walk ,To go to a restaurant/ eat/drink,,with one other person,Few times a month,,,,,Yes,No,No,Yes,"Used Taxi/RideShare (Uber, Didi, etc)",25-29,Male,,4170.0,Postgraduate Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,1,0,3,
2025-05-12 11:39:38,R_9rIn8RKENeXNXMN,"Kangaroo Point Bridge,Neville Bonner Bridge,Breakfast/ Yowoggera Bridge",Kangaroo Point Bridge,,,4005.0,4101.0,Personal E-bike  ,Visiting family/ friends/relatives/ social visit,,with more than two persons,Few times a month,,,,,No,No,No,Yes,Used a bus,18-24,Male,,4005.0,Graduate Diploma and Graduate Certificate,Prefer not to answer,Yes,Car licence,0,0,2,
2025-05-12 11:46:44,R_4p1R46kUw3qpRu1,I have not used any of the above,,Does not connect places where I typically go,,,,,,,,,,,,,,,,,,18-24,Male,,4556.0,Bachelor Degree,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,0,0,4,
2025-05-12 12:03:13,R_9n91huEdfP1sOMD,Kangaroo Point Bridge,,,,4107.0,4000.0,"Shared E-scooter (for example, Neuron or Lime) ",Commute to study,,alone,Few times a week,,,,,Yes,Yes,Yes,Maybe,Used a shorter route,25-29,Female,,4107.0,Certificate III & IV,Student receiving Youth Allowance/ Stipend,Yes,Car licence,0,0,6,
