recorded_date,response_id,Bridge,interview_station,gender,travel_mode,travel_mode_other,travel_group,mobility_aid,mobility_aid_other,travelled_before,trip_start_suburb,trip_end_suburb,trip_reason,trip_reason_other,trip_frequency,impact_time,impact_comfort,impact_safety,impact_connectivity,pattern_change_mode,pattern_change_time,pattern_change_freq,pattern_change_places,trip_alternative,age,postcode,education,employment_status,currently_studying,drivers_licence,household_under15,household_15_17,household_18plus,bridge_feedback
30/04/2025 16:08,R_4M07wgPhb1TGQ4a,Kangaroo Point Bridge,City landing,Male,Walk ,,alone,No,,Yes,Brisbane CBD,Brisbane CBD,Fitness/exercise,,Few times a week,No,Yes,Maybe,No,Maybe,No,Yes,Yes,Used a longer route,25-29,4121,Bachelor Degree,"Student receiving Youth Allowance/ Stipend,Not currently working due to a long-term health condition or disability",Yes,"Car licence,Motorcycle licence",0,0,1,Good change of scenery 
6/05/2025 16:47,R_400x4Bx4UXhOadz,Kangaroo Point Bridge,City landing,Male,Walk ,,alone,No,,Yes,Southbank ,Southbank,Fitness/exercise,,On most weekends,No,Yes,Yes,Yes,No,No,No,No,Used a longer route,18-24,4068,Bachelor Degree,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,0,0,3,
7/05/2025 16:44,R_4P6kTPDGPnKE5uh,Kangaroo Point Bridge,City landing,Male, Pushbike  ,,alone,No,,Yes,test,test,Commute to study,,On most weekends,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Used a shorter route,35-39,4130,Postgraduate Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,0,
8/05/2025 11:40,R_4pJOYEwEDQHcdtf,Kangaroo Point Bridge,City landing,Male,Walk ,,with one other person,No,,Yes,Kangaroo Point,Paddington,Visiting family/ friends/relatives/ social visit,,Few times a week,Yes,Yes,Maybe,Maybe,Yes,No,No,No,Used a longer route,30-34,4061,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,0,0,2,
12/05/2025 7:32,R_44dsdWlX44ejaE3,Kangaroo Point Bridge,City landing,Male,Walk ,,alone,No,,Yes,4006,4006,Fitness/exercise,,On most weekends,No,Yes,Yes,Yes,No,No,Yes,Yes,Used a longer route,18-24,4068,Bachelor Degree,Employed (paid work) typically working less than 35 hours a week,Yes,Car licence,1,1,0,
12/05/2025 7:45,R_4wqR15firtCvAPv,Breakfast/ Yowoggera Bridge,Lores Bonney Riverwalk landing,Female,Walk ,,alone,No,,Yes,Newstead,Hamilton,Fitness/exercise,,Daily,Yes,Yes,No,Maybe,No,No,Maybe,No,Used a longer route,65-69,4006,Prefer not to answer,Employed (paid work) typically working less than 35 hours a week,No,"Car licence,Motorcycle licence",0,0,0,Too many bikes and scooters. Too many school children that pass the bridge. 
12/05/2025 7:52,R_4DRyFrNAl20UBIl,Kangaroo Point Bridge,City landing,Male,Walk ,,alone,No,,Yes,Springhill,Springhill,Fitness/exercise,,Daily,,Yes,,,,,Yes,,Travelled to someplace else for the same purpose/reason/activity,40-44,4000,Years 10/11/12,Retired or on an age pension,No,Car licence,0,0,1,
12/05/2025 7:52,R_4CBjnCx0WRtQA72,Breakfast/ Yowoggera Bridge,Lores Bonney Riverwalk landing,Female,Walk ,,with one other person,No,,Yes,Teneriffe ,Hamilton,Fitness/exercise,,Daily,Yes,No,Maybe,No,Yes,No,No,No,Used a longer route,65-69,4006,Prefer not to answer,Employed (paid work) typically working 35 hours or more in a week,No,"Car licence,Motorcycle licence",0,1,0,"It benefitted the lady by making a shorter route. However, not very happy with how many people especially scooters and bikers are using the bridge. "
12/05/2025 8:00,R_9OPqoN1ypRAEyTn,Breakfast/ Yowoggera Bridge,Newstead landing,Male,Walk ,,alone,No,,No,Newstead,Newstead,Fitness/exercise,,Few times a week,Maybe,Yes,Yes,Maybe,Yes,No,Yes,Yes,Travelled to someplace else for the same purpose/reason/activity,30-34,4006,Bachelor Degree,Employed (paid work) typically working 35 hours or more in a week,No,Car licence,1,0,2,"Access to more enjoyable areas and routes for daily exercise, and connectivity to new businesses"
12/05/2025 8:00,R_4o6YLKdKndlG0a5,Kangaroo Point Bridge,City landing,Male,Walk ,,with two other persons,No,,Yes,Kangaroo point,Kangaroo point,Fitness/exercise,,Few times a month,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Yes,Used a longer route,25-29,4101,Postgraduate Degree,Employed (paid work) typically working less than 35 hours a week,No,Car licence,0,0,7,"Reduced walking distance 
"
