choice,attr1_1,attr2_1,attr3_1,attr4_1,attr5_1,attr1_2,attr2_2,attr3_2,attr4_2,attr5_2,attr1_3,attr2_3,attr3_3,attr4_3,attr5_3
3,211.8193033,107.3333095,460.3398646,79.69862755,145.0836007,619.1513123,81.62949091,258.8570869,78.34863105,180.0857589,783.9320314,91.01868044,451.2259651,83.00181209,93.10750341
2,615.0555944,86.47079036,62.15449931,90.33958671,288.2857112,806.008936,107.3912745,90.40961648,84.89184861,176.7058532,153.4775077,137.1226767,35.5948779,89.52515841,138.1933752
1,667.3234259,108.4985867,456.2788753,82.06101241,122.4960948,959.2519888,180.8010177,819.5799334,89.22682627,210.2018139,913.8930358,73.67232828,175.5640416,71.73823865,152.3246172
1,406.9750718,102.2013554,723.6410228,78.1508446,142.897648,553.4029422,81.85265441,700.6522502,72.34184508,292.7989585,771.6381621,90.86919889,10.59148734,87.5931189,233.3377238
3,730.531556,180.1983993,69.94407227,78.18609352,107.8477971,858.0187868,157.1119748,292.424337,72.11557428,149.2779737,346.6104483,173.6980124,558.0454345,89.07008342,183.5139613
1,151.1539725,171.1453304,664.7822224,82.36086505,246.9507494,506.9125498,141.4219138,376.1341927,71.33049765,106.1538337,67.33418836,159.1577355,278.0960133,81.27592827,275.956122
2,274.4597006,123.8932341,660.2487343,75.51695231,99.59010967,312.9248635,85.01937447,811.0902905,87.44200712,217.7406544,865.9640624,185.2536732,167.4108957,89.18013339,197.7677161
1,805.098919,199.6727947,281.2553855,73.07262099,131.6438138,443.5114969,187.4914001,751.3526604,70.95036387,191.6958921,434.2926242,94.51880704,109.6328831,77.75689535,283.4608721
2,344.7276632,140.8068559,614.7466134,78.29238926,289.5916073,952.4664244,99.1485799,436.5131555,77.00068563,143.7270413,72.52296045,154.9692471,441.2169401,71.86692184,142.4118065
1,900.9553837,97.2419689,131.3128431,80.88239533,292.5364049,267.5794215,164.7315227,665.5051042,75.69890645,237.8730759,387.1106978,158.5173445,554.5566843,81.83590871,102.4163136
