id,nij,alt,altij,choice,choicet,ptatt,cardays,taxidc,taxi80,taxi200,taxi300,taxi400,bikem,bikemw,bike30,bike30w,bike60,bike60w,scotm,scotmw,scot30,scot30w,scot60,scot60w,carpool,rtinfo,aiinfo,credit,points,subfee,gender,agecont,agez,agey,agex,ageb,agesilt,age1824,age2534,age3544,age4554,age5564,age65p,highed,mided,lowed,std,stduni,stdsec,carlic,motlic,othlic,nolic,ccars,cmot,cbike,cebike,cescot,cmic,hhinc,inc1,inc500,inc1250,inc3000,hhsize,hh15,hh1518,hh18,alone,couple,haskids,livpar,livrel,livsha,maasawar,prefsub,prefpayg,interest,fwt,ptw,scholar,volunt,caret,ret,unemp,wfhdays,wfhusr,phoncom,phonunc,appnav,apptra,apppay,cardusr,digpay,aftpay,worktyp,shoptyp,walktyp,mictyp,pttyp,cartyp,multmod,ptcost,fuelcost,parkcost,tollcost,rhcost,miccosts,maincost,currcost,postcode,postcend,ptappusr,rhappusr,nvappusr,mcappusr,csappusr,pkappusr,noappusr,pgchoice,prefno1,prefno2,prefno3,prefno4,prefno5,prefno6,prefno7,prefno8,prefno9,prefno10,prefno11,prefno12,prefno13,prefno14,maxwtp,travneed,trvneed1,trvneed2,trvneed3,trvneed4,hhneed,variable
1,2,maas,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20,1,70,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,2,1,1,1,1,3,575,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,5,50,0,0,0,0,25,55,4300,4300,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
1,2,current,1,1,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,55,1,70,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,2,1,1,1,1,3,575,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,5,50,0,0,0,0,25,55,4300,4300,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2
2,2,maas,2,0,0,1,1,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,42,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,6,1,4,1,1,6,4250,0,0,0,1,5,1,2,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,70,150,0,0,0,0,225,220,4280,4074,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,current,1,1,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,220,0,42,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,6,1,4,1,1,6,4250,0,0,0,1,5,1,2,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,70,150,0,0,0,0,225,220,4280,4074,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,2,maas,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,34,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2,1,1,1,1,3,3750,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,7,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,50,350,75,125,225,125,75,950,4170,2470,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
3,2,current,1,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,950,0,34,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2,1,1,1,1,3,3750,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,7,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,50,350,75,125,225,125,75,950,4170,2470,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2
4,2,maas,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,1,47,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,1,1,4,9,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4114,4114,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2,current,1,1,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,47,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,1,1,4,9,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4114,4114,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5,2,maas,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,1,0,100,0,20,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,2,2,1,1,1,3,2750,0,0,1,0,2,0,0,2,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,7,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,30,250,125,175,125,125,125,830,4215,4011,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,2,current,1,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,830,0,20,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,2,2,1,1,1,3,2750,0,0,1,0,2,0,0,2,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,7,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,30,250,125,175,125,125,125,830,4215,4011,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
