,Unnamed: 0.1,CHID,ALT,AV,TT,CO,HE,SEATS,Unnamed: 0,GROUP,SURVEY,SP,ID,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,CHOICE,TT_SCALED,CO_SCALED
0,0,0,CAR,1,117,65,0.0,0.0,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,False,1.17,0.65
1,1,0,SM,1,63,52,20.0,0.0,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,True,0.63,0.52
2,2,0,TRAIN,1,112,48,120.0,0.0,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,False,1.12,0.48
3,3,1,CAR,1,117,84,0.0,0.0,1,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,False,1.17,0.84
4,4,1,SM,1,60,49,10.0,0.0,1,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,True,0.6,0.49
5,5,1,TRAIN,1,103,48,30.0,0.0,1,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,False,1.03,0.48
6,6,2,CAR,1,117,52,0.0,0.0,2,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,False,1.17,0.52
7,7,2,SM,1,67,58,30.0,0.0,2,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,True,0.67,0.58
8,8,2,TRAIN,1,130,48,60.0,0.0,2,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,False,1.3,0.48
9,9,3,CAR,1,72,52,0.0,0.0,3,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,False,0.72,0.52
10,10,3,SM,1,63,52,20.0,0.0,3,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,True,0.63,0.52
11,11,3,TRAIN,1,103,40,30.0,0.0,3,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,False,1.03,0.4
12,12,4,CAR,1,90,84,0.0,0.0,4,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,False,0.9,0.84
13,13,4,SM,1,63,42,20.0,0.0,4,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,True,0.63,0.42
14,14,4,TRAIN,1,130,36,60.0,0.0,4,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,False,1.3,0.36
15,15,5,CAR,1,90,52,0.0,0.0,5,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,False,0.9,0.52
16,16,5,SM,1,60,49,10.0,0.0,5,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,True,0.6,0.49
17,17,5,TRAIN,1,112,36,120.0,0.0,5,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,False,1.12,0.36
18,18,6,CAR,1,72,65,0.0,0.0,6,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,False,0.72,0.65
19,19,6,SM,1,67,58,10.0,0.0,6,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,True,0.67,0.58
20,20,6,TRAIN,1,103,48,120.0,0.0,6,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,False,1.03,0.48
21,21,7,CAR,1,90,65,0.0,0.0,7,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,False,0.9,0.65
22,22,7,SM,1,67,43,30.0,0.0,7,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,False,0.67,0.43
23,23,7,TRAIN,1,103,36,30.0,0.0,7,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,True,1.03,0.36
24,24,8,CAR,1,72,65,0.0,0.0,8,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,False,0.72,0.65
25,25,8,SM,1,60,46,10.0,0.0,8,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,True,0.6,0.46
26,26,8,TRAIN,1,130,40,60.0,0.0,8,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,False,1.3,0.4
27,27,9,CAR,0,0,0,0.0,0.0,9,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,False,0.0,0.0
28,28,9,SM,1,76,70,20.0,0.0,9,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,True,0.76,0.7
29,29,9,TRAIN,1,184,62,120.0,0.0,9,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,False,1.84,0.62
30,30,10,CAR,0,0,0,0.0,0.0,10,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,False,0.0,0.0
31,31,10,SM,1,70,66,10.0,0.0,10,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,True,0.7,0.66
32,32,10,TRAIN,1,170,62,30.0,0.0,10,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,False,1.7,0.62
33,33,11,CAR,0,0,0,0.0,0.0,11,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,False,0.0,0.0
34,34,11,SM,1,84,82,30.0,0.0,11,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,True,0.84,0.82
35,35,11,TRAIN,1,213,62,60.0,0.0,11,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,False,2.13,0.62
36,36,12,CAR,0,0,0,0.0,0.0,12,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,False,0.0,0.0
37,37,12,SM,1,76,72,20.0,0.0,12,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,True,0.76,0.72
38,38,12,TRAIN,1,170,52,30.0,0.0,12,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,False,1.7,0.52
39,39,13,CAR,0,0,0,0.0,0.0,13,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,False,0.0,0.0
40,40,13,SM,1,76,53,20.0,0.0,13,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,True,0.76,0.53
41,41,13,TRAIN,1,213,47,60.0,0.0,13,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,False,2.13,0.47
42,42,14,CAR,0,0,0,0.0,0.0,14,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,False,0.0,0.0
43,43,14,SM,1,70,66,10.0,0.0,14,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,True,0.7,0.66
44,44,14,TRAIN,1,184,47,120.0,0.0,14,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,False,1.84,0.47
45,45,15,CAR,0,0,0,0.0,0.0,15,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,False,0.0,0.0
46,46,15,SM,1,84,82,10.0,0.0,15,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,True,0.84,0.82
47,47,15,TRAIN,1,170,62,120.0,0.0,15,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,False,1.7,0.62
48,48,16,CAR,0,0,0,0.0,0.0,16,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,False,0.0,0.0
49,49,16,SM,1,84,57,30.0,0.0,16,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,True,0.84,0.57
50,50,16,TRAIN,1,170,47,30.0,0.0,16,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,False,1.7,0.47
