"choice","id","alt","pf","cl","loc","wk","tod","seas","chid"
FALSE,1,1,7,5,0,1,0,0,1
FALSE,1,2,9,1,1,0,0,0,1
FALSE,1,3,0,0,0,0,0,1,1
TRUE,1,4,0,5,0,1,1,0,1
FALSE,1,1,7,0,0,1,0,0,2
FALSE,1,2,9,5,0,1,0,0,2
TRUE,1,3,0,1,1,0,1,0,2
FALSE,1,4,0,5,0,0,0,1,2
FALSE,1,1,9,5,0,0,0,0,3
FALSE,1,2,7,1,0,1,0,0,3
FALSE,1,3,0,0,0,1,1,0,3
TRUE,1,4,0,0,1,0,0,1,3
FALSE,1,1,0,1,0,1,0,1,4
FALSE,1,2,9,1,0,0,0,0,4
FALSE,1,3,7,0,1,0,0,0,4
TRUE,1,4,0,5,0,1,1,0,4
TRUE,1,1,0,0,1,0,1,0,5
FALSE,1,2,9,1,0,1,0,0,5
FALSE,1,3,0,0,0,0,0,1,5
FALSE,1,4,7,5,0,1,0,0,5
FALSE,1,1,0,0,0,0,0,1,6
FALSE,1,2,9,0,0,0,0,0,6
FALSE,1,3,0,1,1,0,1,0,6
TRUE,1,4,7,5,0,1,0,0,6
TRUE,1,1,0,5,0,1,0,1,7
FALSE,1,2,9,0,0,0,0,0,7
FALSE,1,3,0,1,0,0,1,0,7
FALSE,1,4,7,5,1,0,0,0,7
FALSE,1,1,9,0,0,1,0,0,8
FALSE,1,2,7,1,0,0,0,0,8
TRUE,1,3,0,1,1,0,0,1,8
FALSE,1,4,0,5,0,0,1,0,8
TRUE,1,1,0,5,0,1,0,1,9
FALSE,1,2,0,5,0,0,1,0,9
FALSE,1,3,9,0,0,1,0,0,9
FALSE,1,4,7,1,0,0,0,0,9
FALSE,1,1,0,1,0,1,0,1,10
TRUE,1,2,0,5,1,0,1,0,10
FALSE,1,3,7,0,0,0,0,0,10
FALSE,1,4,9,0,0,1,0,0,10
FALSE,1,1,9,5,0,1,0,0,11
FALSE,1,2,0,0,0,1,1,0,11
TRUE,1,3,0,5,1,0,0,1,11
FALSE,1,4,7,1,0,0,0,0,11
FALSE,1,1,0,1,0,1,1,0,12
FALSE,1,2,7,5,0,0,0,0,12
FALSE,1,3,9,5,1,0,0,0,12
TRUE,1,4,0,0,0,1,0,1,12
FALSE,2,1,0,0,1,0,0,1,13
FALSE,2,2,7,5,0,1,0,0,13
FALSE,2,3,0,1,0,0,1,0,13
TRUE,2,4,9,1,0,1,0,0,13
FALSE,2,1,7,5,0,0,0,0,14
FALSE,2,2,0,1,0,1,1,0,14
FALSE,2,3,0,0,0,1,0,1,14
TRUE,2,4,9,5,1,0,0,0,14
FALSE,2,1,9,1,0,0,0,0,15
FALSE,2,2,0,1,0,0,1,0,15
TRUE,2,3,7,5,0,1,0,0,15
FALSE,2,4,0,0,1,0,0,1,15
FALSE,2,1,7,5,0,1,0,0,16
FALSE,2,2,9,1,0,0,0,0,16
TRUE,2,3,0,0,0,1,1,0,16
FALSE,2,4,0,1,1,0,0,1,16
TRUE,2,1,7,5,0,1,0,0,17
FALSE,2,2,9,1,1,0,0,0,17
FALSE,2,3,0,0,0,0,0,1,17
FALSE,2,4,0,5,0,1,1,0,17
TRUE,2,1,7,0,0,1,0,0,18
FALSE,2,2,9,5,0,1,0,0,18
FALSE,2,3,0,1,1,0,1,0,18
FALSE,2,4,0,5,0,0,0,1,18
FALSE,2,1,9,5,0,0,0,0,19
TRUE,2,2,7,1,0,1,0,0,19
FALSE,2,3,0,0,0,1,1,0,19
FALSE,2,4,0,0,1,0,0,1,19
FALSE,2,1,0,1,0,1,0,1,20
FALSE,2,2,9,1,0,0,0,0,20
TRUE,2,3,7,0,1,0,0,0,20
FALSE,2,4,0,5,0,1,1,0,20
FALSE,2,1,0,0,1,0,1,0,21
FALSE,2,2,9,1,0,1,0,0,21
FALSE,2,3,0,0,0,0,0,1,21
TRUE,2,4,7,5,0,1,0,0,21
FALSE,2,1,0,0,0,0,0,1,22
FALSE,2,2,9,0,0,0,0,0,22
FALSE,2,3,0,1,1,0,1,0,22
TRUE,2,4,7,5,0,1,0,0,22
FALSE,2,1,0,5,0,1,0,1,23
FALSE,2,2,9,0,0,0,0,0,23
FALSE,2,3,0,1,0,0,1,0,23
TRUE,2,4,7,5,1,0,0,0,23
FALSE,2,1,9,0,0,1,0,0,24
TRUE,2,2,7,1,0,0,0,0,24
FALSE,2,3,0,1,1,0,0,1,24
FALSE,2,4,0,5,0,0,1,0,24
FALSE,3,1,0,0,1,0,1,0,25
TRUE,3,2,7,1,0,0,0,0,25
FALSE,3,3,9,5,0,1,0,0,25
FALSE,3,4,0,5,0,1,0,1,25
FALSE,3,1,9,5,0,1,0,0,26
FALSE,3,2,0,0,0,0,0,1,26
TRUE,3,3,7,1,0,0,0,0,26
FALSE,3,4,0,0,1,0,1,0,26
TRUE,3,1,7,0,0,0,0,0,27
FALSE,3,2,0,0,0,1,1,0,27
FALSE,3,3,0,5,0,1,0,1,27
FALSE,3,4,9,1,0,0,0,0,27
FALSE,3,1,7,5,1,0,0,0,28
FALSE,3,2,0,1,0,0,0,1,28
FALSE,3,3,0,5,0,0,1,0,28
TRUE,3,4,9,0,0,1,0,0,28
FALSE,3,1,0,0,0,1,0,1,29
FALSE,3,2,0,1,0,0,1,0,29
FALSE,3,3,9,0,0,1,0,0,29
TRUE,3,4,7,5,1,0,0,0,29
FALSE,3,1,0,5,0,0,0,1,30
FALSE,3,2,0,1,0,0,1,0,30
FALSE,3,3,9,5,1,0,0,0,30
