choice,FSG_1,FSG_2,FSG_3,FSG_4,FSG_5,FSO_1,FSO_2,FSO_3,FSO_4,FSO_5,TT_1,TT_2,TT_3,TT_4,TT_5
1,1469,60,309,959,1991,3123,26,2546,5877,10068,594,0,0,0,0
1,3403,1031,36,441,60,12516,7272,253,2741,26,1200,1200,2484,2700,0
4,135,1031,36,3403,441,409,7272,253,12516,2741,2588,0,1752,0,2700
1,1959,262,294,1491,1556,858,5344,1043,690,434,0,0,2392,1900,2600
5,262,19,45,84,148,5344,68,309,809,2754,0,0,0,509,509
2,19,148,45,84,709,68,2754,309,809,269,0,509,0,509,509
5,84,76,1668,554,2701,809,121,10866,2979,4208,509,0,428,660,428
3,136,1504,671,1324,1335,249,198,1492,2309,5049,3332,1732,0,1800,1800
5,946,267,63,0,2939,236,3670,1050,5333,2361,665,0,664,664,0
2,1645,1000,2925,6330,483,7010,665,4548,11383,884,0,0,1200,1200,2500
4,63,267,2939,4358,1645,1050,3670,2361,16200,7010,664,0,0,840,0
4,933,96,635,717,3375,1770,1841,5147,93,17328,289,0,0,0,605
5,3375,933,96,635,821,17328,1770,1841,5147,1220,2100,0,832,832,0
2,821,717,933,96,635,1220,93,1770,1841,5147,283,426,283,426,426
4,933,96,635,717,552,1770,1841,5147,93,3932,289,0,0,0,529
1,2705,717,96,635,933,89841,93,1841,5147,1770,988,0,0,0,289
3,1510,1399,898,909,96,1147,1189,56296,916,1841,0,0,736,428,0
3,635,717,96,933,1399,5147,93,1841,1770,1189,0,0,0,289,0
5,933,717,96,635,2705,1770,93,1841,5147,89841,289,0,0,0,988
4,96,821,933,2705,635,1841,1220,1770,89841,5147,426,283,283,684,0
5,552,821,96,635,933,3932,1220,1841,5147,1770,1820,860,1244,1244,800
2,3210,1491,165,995,1344,3884,8362,437,1513,2562,0,0,1564,1900,1900
1,2473,4160,3479,1817,1622,1131,19515,27106,1498,7598,0,247,247,599,646
4,3289,1192,2201,4406,1399,9748,2578,30672,10446,1189,880,741,741,0,0
2,100,975,1840,241,4406,2641,1058,2872,485,10446,0,0,0,1500,0
5,241,975,100,1840,4409,485,1058,2641,2872,19541,975,0,0,0,1630
5,663,68,114,274,1841,1195,45,359,5555,7523,2000,0,0,0,0
3,1840,100,975,241,554,2872,2641,1058,485,2979,0,0,0,1500,1700
3,3479,4160,2473,1817,1622,27106,19515,1131,1498,7598,712,712,0,2080,2496
3,1199,889,4358,1934,206,13735,480,16200,23864,542,310,310,490,888,0
3,1101,1023,1556,148,6438,460,194,434,3677,77335,608,464,0,1064,1064
3,148,1556,2121,6438,2932,3677,434,41669,77335,2181,400,768,400,400,1332
4,6438,1556,148,2121,2932,77335,434,3677,41669,2181,400,768,400,400,1192
5,6438,1556,148,2121,1792,77335,434,3677,41669,2677,238,222,238,238,428
5,6438,1556,148,2121,1792,77335,434,3677,41669,2677,238,222,238,238,428
1,456,1556,148,2121,6438,0,434,3677,41669,77335,428,222,238,238,238
2,1556,456,148,2121,6438,434,0,3677,41669,77335,222,428,238,238,238
5,148,513,2109,1556,2932,3677,104,1759,434,2181,238,0,408,277,213
4,360,456,702,1792,84,100,0,792,2677,809,0,0,362,0,0
1,702,456,1792,360,388,792,0,2677,100,252,1200,0,0,0,1200
4,295,799,1850,1911,148,197,148,1213,686,3677,1508,1788,1508,1852,1720
2,217,2274,1617,233,1816,216,8347,1259,1470,3919,0,801,0,0,609
1,908,73,1399,663,233,1905,1608,1189,1195,1470,0,0,2300,2600,0
3,368,483,1256,1600,1399,3797,884,3675,3585,1189,573,570,573,573,876
5,483,16,1172,508,974,884,4009,726,4824,572,570,0,660,831,0
1,869,560,1689,3375,96,214,2100,6187,17328,1841,0,0,0,1300,2216
3,1689,869,3375,96,635,6187,214,17328,1841,5147,0,0,1300,2216,1500
5,96,560,1689,3375,869,1841,2100,6187,17328,214,2216,0,0,1300,0
4,96,468,3375,560,1689,1841,728,17328,2100,6187,1500,0,1036,1800,0
1,3375,1394,1689,96,635,17328,1528,6187,1841,5147,0,836,1300,2100,2100
1,3375,468,1394,96,1689,17328,728,1528,1841,6187,1036,0,1152,1500,1300
3,3400,417,4409,2701,96,17619,0,19541,4208,1841,0,0,0,1400,1500
4,1506,2677,2199,36,1190,632,9375,9420,276,1597,1436,1308,1308,0,0
4,933,96,635,717,1190,1770,1841,5147,93,1597,832,0,0,0,1952
5,1309,106,7024,772,20452,2066,327,12895,1424,83361,285,0,0,219,490
2,1190,1188,1463,842,67,1597,3200,2508,956,2329,568,1388,788,1424,1424
3,3830,895,5190,619,620,7566,0,59651,1542,1827,0,0,787,157,157
5,620,895,3830,619,5190,1827,0,7566,1542,59651,157,0,0,157,787
4,379,309,5190,4054,3418,225,33,59651,2456,6650,1176,0,588,588,1176
2,2287,294,570,1959,262,1420,1043,3478,858,5344,1500,0,1500,2392,2392
3,7024,106,20452,772,2287,12895,327,83361,1424,1420,788,788,1756,892,1500
1,5190,82,1424,625,7024,59651,0,1132,577,12895,2460,0,0,700,788
5,3830,82,1424,625,5190,7566,0,1132,577,59651,1048,0,0,700,2460
5,67,1190,1188,842,1463,2329,1597,3200,956,2508,1424,568,1388,1424,788
3,4358,1199,889,267,2939,16200,13735,480,3670,2361,1424,0,0,2544,2544
5,2939,1199,4358,267,889,2361,13735,16200,3670,480,2544,0,1424,2544,0
1,1335,1324,1651,1309,1199,5049,2309,22007,2066,13735,484,484,484,829,0
1,1614,1314,898,6617,1324,1645,6220,56296,95932,2309,1140,0,600,600,1100
2,2725,946,63,0,267,3107,236,1050,5333,3670,425,0,651,651,665
4,384,45,1325,2209,10325,551,111,30295,2410,37322,290,290,360,280,360
3,45,2209,1325,384,10325,111,2410,30295,551,37322,1160,800,1200,1000,1200
1,2209,45,1325,384,10325,2410,111,30295,551,37322,0,1196,1428,1196,1200
2,2209,1325,45,384,10325,2410,30295,111,551,37322,0,388,318,318,388
2,1325,1469,10325,384,2209,30295,3123,37322,551,2410,0,1431,0,276,0
2,106,1309,7024,772,483,327,2066,12895,1424,884,285,0,285,356,0
4,384,10325,45,1325,1331,551,37322,111,30295,9861,276,0,276,0,337
4,231,332,0,526,2063,2347,450,142,3918,3878,570,490,0,571,570
5,231,106,1309,772,7024,2347,327,2066,1424,12895,570,0,285,219,0
4,3400,1395,0,4409,772,17619,527,34996,19541,1424,600,0,0,600,668
1,2304,324,0,666,3400,8249,6322,40,1355,17619,0,0,2128,1600,600
4,3610,585,258,350,2304,5189,781,813,1083,8249,646,0,493,0,0
