id,alt,chosen,FSG,FSO,TT
1,1,1,1469,3123,594
1,2,0,60,26,0
1,3,0,309,2546,0
1,4,0,959,5877,0
1,5,0,1991,10068,0
2,1,1,3403,12516,1200
2,2,0,1031,7272,1200
2,3,0,36,253,2484
2,4,0,441,2741,2700
2,5,0,60,26,0
3,1,0,135,409,2588
3,2,0,1031,7272,0
3,3,0,36,253,1752
3,4,1,3403,12516,0
3,5,0,441,2741,2700
4,1,1,1959,858,0
4,2,0,262,5344,0
4,3,0,294,1043,2392
4,4,0,1491,690,1900
4,5,0,1556,434,2600
5,1,0,262,5344,0
5,2,0,19,68,0
5,3,0,45,309,0
5,4,0,84,809,509
5,5,1,148,2754,509
6,1,0,19,68,0
6,2,1,148,2754,509
6,3,0,45,309,0
6,4,0,84,809,509
6,5,0,709,269,509
7,1,0,84,809,509
7,2,0,76,121,0
7,3,0,1668,10866,428
7,4,0,554,2979,660
7,5,1,2701,4208,428
8,1,0,136,249,3332
8,2,0,1504,198,1732
8,3,1,671,1492,0
8,4,0,1324,2309,1800
8,5,0,1335,5049,1800
9,1,0,946,236,665
9,2,0,267,3670,0
9,3,0,63,1050,664
9,4,0,0,5333,664
9,5,1,2939,2361,0
10,1,0,1645,7010,0
10,2,1,1000,665,0
10,3,0,2925,4548,1200
10,4,0,6330,11383,1200
10,5,0,483,884,2500
11,1,0,63,1050,664
11,2,0,267,3670,0
11,3,0,2939,2361,0
11,4,1,4358,16200,840
11,5,0,1645,7010,0
12,1,0,933,1770,289
12,2,0,96,1841,0
12,3,0,635,5147,0
12,4,1,717,93,0
12,5,0,3375,17328,605
13,1,0,3375,17328,2100
13,2,0,933,1770,0
13,3,0,96,1841,832
13,4,0,635,5147,832
13,5,1,821,1220,0
14,1,0,821,1220,283
14,2,1,717,93,426
14,3,0,933,1770,283
14,4,0,96,1841,426
14,5,0,635,5147,426
15,1,0,933,1770,289
15,2,0,96,1841,0
15,3,0,635,5147,0
15,4,1,717,93,0
15,5,0,552,3932,529
16,1,1,2705,89841,988
16,2,0,717,93,0
16,3,0,96,1841,0
16,4,0,635,5147,0
16,5,0,933,1770,289
17,1,0,1510,1147,0
17,2,0,1399,1189,0
17,3,1,898,56296,736
17,4,0,909,916,428
17,5,0,96,1841,0
18,1,0,635,5147,0
18,2,0,717,93,0
18,3,1,96,1841,0
18,4,0,933,1770,289
18,5,0,1399,1189,0
19,1,0,933,1770,289
19,2,0,717,93,0
19,3,0,96,1841,0
19,4,0,635,5147,0
19,5,1,2705,89841,988
20,1,0,96,1841,426
20,2,0,821,1220,283
20,3,0,933,1770,283
20,4,1,2705,89841,684
20,5,0,635,5147,0
21,1,0,552,3932,1820
21,2,0,821,1220,860
21,3,0,96,1841,1244
21,4,0,635,5147,1244
21,5,1,933,1770,800
22,1,0,3210,3884,0
22,2,1,1491,8362,0
22,3,0,165,437,1564
22,4,0,995,1513,1900
22,5,0,1344,2562,1900
23,1,1,2473,1131,0
23,2,0,4160,19515,247
23,3,0,3479,27106,247
23,4,0,1817,1498,599
23,5,0,1622,7598,646
24,1,0,3289,9748,880
24,2,0,1192,2578,741
24,3,0,2201,30672,741
24,4,1,4406,10446,0
24,5,0,1399,1189,0
25,1,0,100,2641,0
25,2,1,975,1058,0
25,3,0,1840,2872,0
25,4,0,241,485,1500
25,5,0,4406,10446,0
26,1,0,241,485,975
26,2,0,975,1058,0
26,3,0,100,2641,0
26,4,0,1840,2872,0
26,5,1,4409,19541,1630
27,1,0,663,1195,2000
27,2,0,68,45,0
27,3,0,114,359,0
27,4,0,274,5555,0
27,5,1,1841,7523,0
28,1,0,1840,2872,0
28,2,0,100,2641,0
28,3,1,975,1058,0
28,4,0,241,485,1500
28,5,0,554,2979,1700
29,1,0,3479,27106,712
29,2,0,4160,19515,712
29,3,1,2473,1131,0
29,4,0,1817,1498,2080
29,5,0,1622,7598,2496
30,1,0,1199,13735,310
30,2,0,889,480,310
30,3,1,4358,16200,490
30,4,0,1934,23864,888
30,5,0,206,542,0
31,1,0,1101,460,608
31,2,0,1023,194,464
31,3,1,1556,434,0
31,4,0,148,3677,1064
31,5,0,6438,77335,1064
32,1,0,148,3677,400
32,2,0,1556,434,768
32,3,1,2121,41669,400
32,4,0,6438,77335,400
32,5,0,2932,2181,1332
33,1,0,6438,77335,400
33,2,0,1556,434,768
33,3,0,148,3677,400
33,4,1,2121,41669,400
33,5,0,2932,2181,1192
34,1,0,6438,77335,238
34,2,0,1556,434,222
34,3,0,148,3677,238
34,4,0,2121,41669,238
34,5,1,1792,2677,428
35,1,0,6438,77335,238
35,2,0,1556,434,222
35,3,0,148,3677,238
