id,alt,chosen,TT,TC
1,1,0,23,6
1,2,0,27,4
1,3,1,35,3
2,1,0,27,5
2,2,1,35,4
2,3,0,23,6
3,1,1,35,3
3,2,0,23,5
3,3,0,31,4
4,1,0,27,4
4,2,0,23,5
4,3,1,35,3
5,1,1,35,3
5,2,0,27,6
5,3,0,31,5
6,1,0,23,6
6,2,0,27,5
6,3,1,35,3
7,1,1,35,3
7,2,0,31,5
7,3,0,23,6
8,1,0,27,5
8,2,0,23,6
8,3,1,31,3
9,1,1,35,3
9,2,0,31,4
9,3,0,27,6
10,1,0,23,6
10,2,0,27,4
10,3,1,31,3
11,1,1,23,6
11,2,0,27,4
11,3,0,35,3
12,1,1,27,5
12,2,0,35,4
12,3,0,23,6
13,1,1,35,3
13,2,0,23,5
13,3,0,31,4
14,1,0,27,4
14,2,0,23,5
14,3,1,35,3
15,1,1,35,3
15,2,0,27,6
15,3,0,31,5
16,1,0,23,6
16,2,0,27,5
16,3,1,35,3
17,1,1,35,3
17,2,0,31,5
17,3,0,23,6
18,1,0,27,5
18,2,0,23,6
18,3,1,31,3
19,1,1,35,3
19,2,0,31,4
19,3,0,27,6
20,1,0,23,6
20,2,0,27,4
20,3,1,31,3
21,1,0,23,6
21,2,0,27,4
21,3,1,35,3
22,1,0,27,5
22,2,1,35,4
22,3,0,23,6
23,1,1,35,3
23,2,0,23,5
23,3,0,31,4
24,1,0,27,4
24,2,0,23,5
24,3,1,35,3
25,1,1,35,3
25,2,0,27,6
25,3,0,31,5
26,1,0,23,6
26,2,0,27,5
26,3,1,35,3
27,1,1,35,3
27,2,0,31,5
27,3,0,23,6
28,1,0,27,5
28,2,0,23,6
28,3,1,31,3
29,1,1,35,3
29,2,0,31,4
29,3,0,27,6
30,1,0,23,6
30,2,0,27,4
30,3,1,31,3
31,1,0,23,6
31,2,0,27,4
31,3,1,35,3
32,1,0,27,5
32,2,1,35,4
32,3,0,23,6
33,1,1,35,3
33,2,0,23,5
33,3,0,31,4
34,1,0,27,4
34,2,0,23,5
34,3,1,35,3
35,1,1,35,3
35,2,0,27,6
35,3,0,31,5
36,1,0,23,6
36,2,0,27,5
36,3,1,35,3
37,1,1,35,3
37,2,0,31,5
37,3,0,23,6
38,1,0,27,5
38,2,0,23,6
38,3,1,31,3
39,1,1,35,3
39,2,0,31,4
39,3,0,27,6
40,1,0,23,6
40,2,0,27,4
40,3,1,31,3
41,1,0,23,6
41,2,0,27,4
41,3,1,35,3
42,1,0,27,5
42,2,1,35,4
42,3,0,23,6
43,1,1,35,3
43,2,0,23,5
43,3,0,31,4
44,1,0,27,4
44,2,0,23,5
44,3,1,35,3
45,1,1,35,3
45,2,0,27,6
45,3,0,31,5
46,1,0,23,6
46,2,0,27,5
46,3,1,35,3
47,1,1,35,3
47,2,0,31,5
47,3,0,23,6
48,1,0,27,5
48,2,0,23,6
48,3,1,31,3
49,1,1,35,3
49,2,0,31,4
49,3,0,27,6
50,1,0,23,6
50,2,0,27,4
50,3,1,31,3
51,1,0,23,6
51,2,1,27,4
51,3,0,35,3
52,1,0,27,5
52,2,1,35,4
52,3,0,23,6
53,1,0,35,3
53,2,1,23,5
53,3,0,31,4
54,1,0,27,4
54,2,1,23,5
54,3,0,35,3
55,1,0,35,3
55,2,0,27,6
55,3,1,31,5
56,1,0,23,6
56,2,0,27,5
56,3,1,35,3
57,1,0,35,3
57,2,1,31,5
57,3,0,23,6
58,1,1,27,5
58,2,0,23,6
58,3,0,31,3
59,1,1,35,3
59,2,0,31,4
59,3,0,27,6
60,1,0,23,6
60,2,1,27,4
60,3,0,31,3
61,1,0,23,6
61,2,1,27,4
61,3,0,35,3
62,1,0,27,5
62,2,1,35,4
62,3,0,23,6
63,1,0,35,3
63,2,1,23,5
63,3,0,31,4
64,1,0,27,4
64,2,1,23,5
64,3,0,35,3
65,1,1,35,3
65,2,0,27,6
65,3,0,31,5
66,1,0,23,6
66,2,0,27,5
66,3,1,35,3
67,1,1,35,3
67,2,0,31,5
67,3,0,23,6
68,1,0,27,5
68,2,0,23,6
68,3,1,31,3
69,1,0,35,3
69,2,1,31,4
69,3,0,27,6
70,1,0,23,6
70,2,0,27,4
70,3,1,31,3
71,1,1,23,6
71,2,0,27,4
71,3,0,35,3
72,1,1,27,5
72,2,0,35,4
72,3,0,23,6
73,1,1,35,3
73,2,0,23,5
73,3,0,31,4
74,1,0,27,4
74,2,0,23,5
74,3,1,35,3
75,1,1,35,3
75,2,0,27,6
75,3,0,31,5
76,1,0,23,6
76,2,0,27,5
76,3,1,35,3
77,1,1,35,3
77,2,0,31,5
77,3,0,23,6
78,1,0,27,5
78,2,0,23,6
78,3,1,31,3
79,1,1,35,3
79,2,0,31,4
79,3,0,27,6
80,1,0,23,6
80,2,0,27,4
80,3,1,31,3
81,1,0,23,6
81,2,1,27,4
81,3,0,35,3
82,1,0,27,5
82,2,1,35,4
82,3,0,23,6
83,1,0,35,3
83,2,1,23,5
83,3,0,31,4
84,1,1,27,4
84,2,0,23,5
84,3,0,35,3
85,1,1,35,3
85,2,0,27,6
85,3,0,31,5
86,1,1,23,6
86,2,0,27,5
86,3,0,35,3
87,1,0,35,3
87,2,0,31,5
87,3,1,23,6
88,1,1,27,5
88,2,0,23,6
88,3,0,31,3
89,1,0,35,3
89,2,1,31,4
89,3,0,27,6
90,1,0,23,6
90,2,1,27,4
90,3,0,31,3
91,1,0,23,6
91,2,1,27,4
91,3,0,35,3
92,1,1,27,5
92,2,0,35,4
92,3,0,23,6
93,1,0,35,3
93,2,1,23,5
93,3,0,31,4
94,1,1,27,4
94,2,0,23,5
94,3,0,35,3
95,1,0,35,3
95,2,0,27,6
95,3,1,31,5
96,1,0,23,6
96,2,1,27,5
96,3,0,35,3
97,1,0,35,3
97,2,0,31,5
97,3,1,23,6
98,1,1,27,5
98,2,0,23,6
98,3,0,31,3
99,1,0,35,3
99,2,1,31,4
99,3,0,27,6
100,1,0,23,6
100,2,1,27,4
100,3,0,31,3
101,1,1,23,6
101,2,0,27,4
101,3,0,35,3
102,1,0,27,5
102,2,0,35,4
102,3,1,23,6
103,1,0,35,3
103,2,1,23,5
103,3,0,31,4
104,1,0,27,4
104,2,1,23,5
104,3,0,35,3
105,1,0,35,3
105,2,1,27,6
105,3,0,31,5
106,1,1,23,6
106,2,0,27,5
106,3,0,35,3
107,1,0,35,3
107,2,0,31,5
107,3,1,23,6
108,1,0,27,5
108,2,1,23,6
108,3,0,31,3
109,1,0,35,3
109,2,0,31,4
109,3,1,27,6
110,1,1,23,6
110,2,0,27,4
110,3,0,31,3
111,1,0,23,6
111,2,1,27,4
111,3,0,35,3
112,1,1,27,5
112,2,0,35,4
112,3,0,23,6
113,1,0,35,3
113,2,0,23,5
113,3,1,31,4
114,1,1,27,4
114,2,0,23,5
114,3,0,35,3
115,1,0,35,3
115,2,0,27,6
115,3,1,31,5
116,1,0,23,6
116,2,1,27,5
116,3,0,35,3
117,1,0,35,3
117,2,1,31,5
117,3,0,23,6
118,1,1,27,5
118,2,0,23,6
118,3,0,31,3
119,1,0,35,3
119,2,1,31,4
119,3,0,27,6
120,1,0,23,6
120,2,1,27,4
120,3,0,31,3
121,1,1,23,6
121,2,0,27,4
121,3,0,35,3
122,1,0,27,5
122,2,0,35,4
122,3,1,23,6
123,1,0,35,3
123,2,1,23,5
123,3,0,31,4
124,1,0,27,4
124,2,1,23,5
124,3,0,35,3
125,1,0,35,3
125,2,1,27,6
125,3,0,31,5
126,1,1,23,6
126,2,0,27,5
126,3,0,35,3
127,1,0,35,3
127,2,0,31,5
127,3,1,23,6
128,1,0,27,5
128,2,1,23,6
128,3,0,31,3
129,1,0,35,3
129,2,0,31,4
129,3,1,27,6
130,1,1,23,6
130,2,0,27,4
130,3,0,31,3
131,1,0,23,6
131,2,1,27,4
131,3,0,35,3
132,1,0,27,5
132,2,0,35,4
132,3,1,23,6
133,1,0,35,3
133,2,1,23,5
133,3,0,31,4
134,1,1,27,4
134,2,0,23,5
134,3,0,35,3
135,1,0,35,3
135,2,1,27,6
135,3,0,31,5
136,1,0,23,6
136,2,1,27,5
136,3,0,35,3
137,1,0,35,3
137,2,0,31,5
137,3,1,23,6
138,1,1,27,5
138,2,0,23,6
138,3,0,31,3
139,1,0,35,3
139,2,1,31,4
139,3,0,27,6
140,1,0,23,6
140,2,1,27,4
140,3,0,31,3
141,1,0,23,6
141,2,1,27,4
141,3,0,35,3
142,1,1,27,5
142,2,0,35,4
142,3,0,23,6
143,1,0,35,3
143,2,1,23,5
143,3,0,31,4
144,1,1,27,4
144,2,0,23,5
144,3,0,35,3
145,1,1,35,3
145,2,0,27,6
145,3,0,31,5
146,1,0,23,6
146,2,1,27,5
146,3,0,35,3
147,1,1,35,3
147,2,0,31,5
147,3,0,23,6
148,1,0,27,5
148,2,0,23,6
148,3,1,31,3
149,1,1,35,3
149,2,0,31,4
149,3,0,27,6
150,1,0,23,6
150,2,1,27,4
150,3,0,31,3
151,1,0,23,6
151,2,1,27,4
151,3,0,35,3
152,1,0,27,5
152,2,0,35,4
152,3,1,23,6
153,1,0,35,3
153,2,1,23,5
153,3,0,31,4
154,1,0,27,4
154,2,1,23,5
154,3,0,35,3
155,1,1,35,3
155,2,0,27,6
155,3,0,31,5
156,1,0,23,6
156,2,1,27,5
156,3,0,35,3
157,1,0,35,3
157,2,0,31,5
157,3,1,23,6
158,1,0,27,5
158,2,0,23,6
158,3,1,31,3
159,1,0,35,3
159,2,1,31,4
159,3,0,27,6
160,1,0,23,6
160,2,1,27,4
160,3,0,31,3
161,1,0,23,6
161,2,1,27,4
161,3,0,35,3
162,1,1,27,5
162,2,0,35,4
162,3,0,23,6
163,1,0,35,3
163,2,0,23,5
163,3,1,31,4
164,1,1,27,4
164,2,0,23,5
164,3,0,35,3
165,1,0,35,3
165,2,0,27,6
165,3,1,31,5
166,1,0,23,6
166,2,1,27,5
166,3,0,35,3
167,1,1,35,3
167,2,0,31,5
167,3,0,23,6
168,1,1,27,5
168,2,0,23,6
168,3,0,31,3
169,1,0,35,3
169,2,1,31,4
169,3,0,27,6
170,1,0,23,6
170,2,1,27,4
170,3,0,31,3
171,1,1,23,6
171,2,0,27,4
171,3,0,35,3
172,1,0,27,5
172,2,0,35,4
172,3,1,23,6
173,1,0,35,3
173,2,1,23,5
173,3,0,31,4
174,1,0,27,4
174,2,1,23,5
174,3,0,35,3
175,1,1,35,3
175,2,0,27,6
175,3,0,31,5
176,1,0,23,6
176,2,0,27,5
176,3,1,35,3
177,1,0,35,3
177,2,0,31,5
177,3,1,23,6
178,1,0,27,5
178,2,0,23,6
178,3,1,31,3
179,1,1,35,3
179,2,0,31,4
179,3,0,27,6
180,1,0,23,6
180,2,0,27,4
180,3,1,31,3
181,1,1,23,6
181,2,0,27,4
181,3,0,35,3
182,1,0,27,5
182,2,1,35,4
182,3,0,23,6
183,1,0,35,3
183,2,0,23,5
183,3,1,31,4
184,1,1,27,4
184,2,0,23,5
184,3,0,35,3
185,1,0,35,3
185,2,1,27,6
185,3,0,31,5
186,1,0,23,6
186,2,0,27,5
186,3,1,35,3
187,1,1,35,3
187,2,0,31,5
187,3,0,23,6
188,1,0,27,5
188,2,1,23,6
188,3,0,31,3
189,1,0,35,3
189,2,1,31,4
189,3,0,27,6
190,1,0,23,6
190,2,1,27,4
190,3,0,31,3
191,1,0,23,6
191,2,0,27,4
191,3,1,35,3
192,1,0,27,5
192,2,1,35,4
192,3,0,23,6
193,1,0,35,3
193,2,0,23,5
193,3,1,31,4
194,1,0,27,4
194,2,0,23,5
194,3,1,35,3
195,1,1,35,3
195,2,0,27,6
195,3,0,31,5
196,1,0,23,6
196,2,0,27,5
196,3,1,35,3
197,1,1,35,3
197,2,0,31,5
197,3,0,23,6
198,1,0,27,5
198,2,0,23,6
198,3,1,31,3
199,1,0,35,3
199,2,1,31,4
199,3,0,27,6
200,1,0,23,6
200,2,0,27,4
200,3,1,31,3
201,1,0,23,6
201,2,0,27,4
201,3,1,35,3
202,1,0,27,5
202,2,1,35,4
202,3,0,23,6
203,1,1,35,3
203,2,0,23,5
203,3,0,31,4
204,1,0,27,4
204,2,0,23,5
204,3,1,35,3
205,1,1,35,3
205,2,0,27,6
205,3,0,31,5
206,1,0,23,6
206,2,0,27,5
206,3,1,35,3
207,1,1,35,3
207,2,0,31,5
207,3,0,23,6
208,1,0,27,5
208,2,0,23,6
208,3,1,31,3
209,1,1,35,3
209,2,0,31,4
209,3,0,27,6
210,1,0,23,6
210,2,0,27,4
210,3,1,31,3
211,1,0,23,6
211,2,1,27,4
211,3,0,35,3
212,1,1,27,5
212,2,0,35,4
212,3,0,23,6
213,1,0,35,3
213,2,1,23,5
213,3,0,31,4
214,1,1,27,4
214,2,0,23,5
214,3,0,35,3
215,1,1,35,3
