choice,id,alt,pf,cl,loc,wk,tod,seas,chid
False,1,1,7,5,0,1,0,0,1
False,1,2,9,1,1,0,0,0,1
False,1,3,0,0,0,0,0,1,1
True,1,4,0,5,0,1,1,0,1
False,1,1,7,0,0,1,0,0,2
False,1,2,9,5,0,1,0,0,2
True,1,3,0,1,1,0,1,0,2
False,1,4,0,5,0,0,0,1,2
False,1,1,9,5,0,0,0,0,3
False,1,2,7,1,0,1,0,0,3
False,1,3,0,0,0,1,1,0,3
True,1,4,0,0,1,0,0,1,3
False,1,1,0,1,0,1,0,1,4
False,1,2,9,1,0,0,0,0,4
False,1,3,7,0,1,0,0,0,4
True,1,4,0,5,0,1,1,0,4
True,1,1,0,0,1,0,1,0,5
False,1,2,9,1,0,1,0,0,5
False,1,3,0,0,0,0,0,1,5
False,1,4,7,5,0,1,0,0,5
False,1,1,0,0,0,0,0,1,6
False,1,2,9,0,0,0,0,0,6
False,1,3,0,1,1,0,1,0,6
True,1,4,7,5,0,1,0,0,6
True,1,1,0,5,0,1,0,1,7
False,1,2,9,0,0,0,0,0,7
False,1,3,0,1,0,0,1,0,7
False,1,4,7,5,1,0,0,0,7
False,1,1,9,0,0,1,0,0,8
False,1,2,7,1,0,0,0,0,8
True,1,3,0,1,1,0,0,1,8
False,1,4,0,5,0,0,1,0,8
True,1,1,0,5,0,1,0,1,9
False,1,2,0,5,0,0,1,0,9
False,1,3,9,0,0,1,0,0,9
False,1,4,7,1,0,0,0,0,9
False,1,1,0,1,0,1,0,1,10
True,1,2,0,5,1,0,1,0,10
False,1,3,7,0,0,0,0,0,10
False,1,4,9,0,0,1,0,0,10
False,1,1,9,5,0,1,0,0,11
False,1,2,0,0,0,1,1,0,11
True,1,3,0,5,1,0,0,1,11
False,1,4,7,1,0,0,0,0,11
False,1,1,0,1,0,1,1,0,12
False,1,2,7,5,0,0,0,0,12
False,1,3,9,5,1,0,0,0,12
True,1,4,0,0,0,1,0,1,12
False,2,1,0,0,1,0,0,1,13
False,2,2,7,5,0,1,0,0,13
False,2,3,0,1,0,0,1,0,13
True,2,4,9,1,0,1,0,0,13
False,2,1,7,5,0,0,0,0,14
False,2,2,0,1,0,1,1,0,14
False,2,3,0,0,0,1,0,1,14
True,2,4,9,5,1,0,0,0,14
False,2,1,9,1,0,0,0,0,15
False,2,2,0,1,0,0,1,0,15
True,2,3,7,5,0,1,0,0,15
False,2,4,0,0,1,0,0,1,15
False,2,1,7,5,0,1,0,0,16
False,2,2,9,1,0,0,0,0,16
True,2,3,0,0,0,1,1,0,16
False,2,4,0,1,1,0,0,1,16
True,2,1,7,5,0,1,0,0,17
False,2,2,9,1,1,0,0,0,17
False,2,3,0,0,0,0,0,1,17
False,2,4,0,5,0,1,1,0,17
True,2,1,7,0,0,1,0,0,18
False,2,2,9,5,0,1,0,0,18
False,2,3,0,1,1,0,1,0,18
False,2,4,0,5,0,0,0,1,18
False,2,1,9,5,0,0,0,0,19
True,2,2,7,1,0,1,0,0,19
False,2,3,0,0,0,1,1,0,19
False,2,4,0,0,1,0,0,1,19
False,2,1,0,1,0,1,0,1,20
False,2,2,9,1,0,0,0,0,20
True,2,3,7,0,1,0,0,0,20
False,2,4,0,5,0,1,1,0,20
False,2,1,0,0,1,0,1,0,21
False,2,2,9,1,0,1,0,0,21
False,2,3,0,0,0,0,0,1,21
True,2,4,7,5,0,1,0,0,21
False,2,1,0,0,0,0,0,1,22
False,2,2,9,0,0,0,0,0,22
False,2,3,0,1,1,0,1,0,22
True,2,4,7,5,0,1,0,0,22
False,2,1,0,5,0,1,0,1,23
False,2,2,9,0,0,0,0,0,23
False,2,3,0,1,0,0,1,0,23
True,2,4,7,5,1,0,0,0,23
False,2,1,9,0,0,1,0,0,24
True,2,2,7,1,0,0,0,0,24
False,2,3,0,1,1,0,0,1,24
False,2,4,0,5,0,0,1,0,24
False,3,1,0,0,1,0,1,0,25
True,3,2,7,1,0,0,0,0,25
False,3,3,9,5,0,1,0,0,25
False,3,4,0,5,0,1,0,1,25
False,3,1,9,5,0,1,0,0,26
False,3,2,0,0,0,0,0,1,26
True,3,3,7,1,0,0,0,0,26
False,3,4,0,0,1,0,1,0,26
True,3,1,7,0,0,0,0,0,27
False,3,2,0,0,0,1,1,0,27
False,3,3,0,5,0,1,0,1,27
False,3,4,9,1,0,0,0,0,27
False,3,1,7,5,1,0,0,0,28
False,3,2,0,1,0,0,0,1,28
False,3,3,0,5,0,0,1,0,28
True,3,4,9,0,0,1,0,0,28
False,3,1,0,0,0,1,0,1,29
False,3,2,0,1,0,0,1,0,29
False,3,3,9,0,0,1,0,0,29
True,3,4,7,5,1,0,0,0,29
False,3,1,0,5,0,0,0,1,30
False,3,2,0,1,0,0,1,0,30
False,3,3,9,5,1,0,0,0,30
True,3,4,7,0,0,1,0,0,30
False,3,1,9,5,0,1,0,0,31
False,3,2,0,0,0,1,1,0,31
False,3,3,0,5,1,0,0,1,31
True,3,4,7,1,0,0,0,0,31
True,3,1,9,1,0,1,0,0,32
False,3,2,7,0,1,0,0,0,32
False,3,3,0,5,0,1,1,0,32
False,3,4,0,0,0,0,0,1,32
False,3,1,0,0,0,0,1,0,33
True,3,2,9,1,0,0,0,0,33
False,3,3,0,5,0,0,0,1,33
False,3,4,0,5,0,1,0,1,33
False,3,1,9,5,0,1,0,0,34
False,3,2,0,5,0,0,0,1,34
True,3,3,7,1,0,0,0,0,34
False,3,4,0,0,0,0,1,0,34
True,3,1,7,1,0,0,0,0,35
False,3,2,0,0,0,0,1,0,35
