step,temperature,current_obj,best_obj,n_accepted,elapsed_s
0,1,590.753,590.753,0,1.9
1,1,537.106,537.106,4,2.1
2,0.954548,537.106,537.106,4,2.1
3,0.911163,537.106,537.106,8,2.1
4,0.869749,537.106,537.106,11,2.1
5,0.830218,537.106,537.106,13,2.1
6,0.792483,537.106,537.106,16,2.1
7,0.756463,537.106,537.106,17,2.2
8,0.722081,537.106,537.106,19,2.2
9,0.689261,537.106,537.106,22,2.2
10,0.657933,537.106,537.106,23,2.2
11,0.628029,537.106,537.106,25,2.2
12,0.599484,537.106,537.106,28,2.2
13,0.572237,537.106,537.106,30,2.2
14,0.546228,537.106,537.106,34,2.2
15,0.521401,537.106,537.106,36,2.2
16,0.497702,537.106,537.106,38,2.2
17,0.475081,537.106,537.106,41,2.2
18,0.453488,537.106,537.106,43,2.3
19,0.432876,537.106,537.106,45,2.3
20,0.413201,537.106,537.106,47,2.3
21,0.394421,537.106,537.106,48,2.3
22,0.376494,537.106,537.106,50,2.3
23,0.359381,537.106,537.106,53,2.3
24,0.343047,537.106,537.106,54,2.3
25,0.327455,537.106,537.106,57,2.3
26,0.312572,537.106,537.106,57,2.3
27,0.298365,537.106,537.106,59,2.3
28,0.284804,537.106,537.106,59,2.3
29,0.271859,537.106,537.106,59,2.4
30,0.259502,537.106,537.106,61,2.4
31,0.247708,537.106,537.106,63,2.4
32,0.236449,537.106,537.106,65,2.4
33,0.225702,537.106,537.106,67,2.4
34,0.215443,537.106,537.106,68,2.4
35,0.205651,537.106,537.106,69,2.4
36,0.196304,537.106,537.106,71,2.4
37,0.187382,537.106,537.106,75,2.4
38,0.178865,537.106,537.106,76,2.4
39,0.170735,537.106,537.106,77,2.4
40,0.162975,537.106,537.106,79,2.5
41,0.155568,537.106,537.106,83,2.5
42,0.148497,537.106,537.106,84,2.5
43,0.141747,537.106,537.106,86,2.5
44,0.135305,537.106,537.106,87,2.5
45,0.129155,537.106,537.106,87,2.5
46,0.123285,537.106,537.106,90,2.5
47,0.117681,537.106,537.106,92,2.5
48,0.112332,537.106,537.106,94,2.5
49,0.107227,537.106,537.106,95,2.5
50,0.102353,537.106,537.106,96,2.5
51,0.097701,537.106,537.106,99,2.5
52,0.0932603,537.106,537.106,99,2.6
53,0.0890215,537.106,537.106,105,2.6
54,0.0849753,537.106,537.106,106,2.6
55,0.0811131,537.106,537.106,107,2.6
56,0.0774264,537.106,537.106,108,2.6
57,0.0739072,537.106,537.106,112,2.6
58,0.070548,537.106,537.106,113,2.6
59,0.0673415,537.106,537.106,115,2.6
60,0.0642807,537.106,537.106,116,2.6
61,0.0613591,537.106,537.106,118,2.7
62,0.0585702,537.106,537.106,120,2.7
63,0.0559081,537.106,537.106,121,2.7
64,0.053367,537.106,537.106,123,2.7
65,0.0509414,537.106,537.106,125,2.7
66,0.048626,537.106,537.106,127,2.7
67,0.0464159,537.106,537.106,129,2.7
68,0.0443062,537.106,537.106,130,2.7
69,0.0422924,537.106,537.106,132,2.7
70,0.0403702,537.106,537.106,135,2.7
71,0.0385353,537.106,537.106,140,2.7
72,0.0367838,537.106,537.106,141,2.7
73,0.0351119,537.106,537.106,143,2.8
74,0.033516,537.106,537.106,144,2.8
75,0.0319927,537.106,537.106,146,2.8
76,0.0305386,537.106,537.106,148,2.8
77,0.0291505,537.106,537.106,149,2.8
78,0.0278256,537.106,537.106,151,2.8
79,0.0265609,537.106,537.106,152,2.8
80,0.0253536,537.106,537.106,155,2.8
81,0.0242013,537.106,537.106,157,2.8
82,0.0231013,537.106,537.106,160,2.8
83,0.0220513,537.106,537.106,163,2.8
84,0.021049,537.106,537.106,166,2.9
85,0.0200923,537.106,537.106,166,2.9
86,0.0191791,537.106,537.106,166,2.9
87,0.0183074,537.106,537.106,168,3.0
88,0.0174753,537.106,537.106,168,3.0
89,0.016681,537.106,537.106,170,3.0
90,0.0159228,537.106,537.106,172,3.0
91,0.0151991,537.106,537.106,174,3.0
92,0.0145083,537.106,537.106,178,3.1
93,0.0138489,537.106,537.106,179,3.1
94,0.0132194,537.106,537.106,181,3.1
95,0.0126186,537.106,537.106,181,3.1
96,0.012045,537.106,537.106,182,3.1
97,0.0114976,537.106,537.106,183,3.1
98,0.010975,537.106,537.106,184,3.1
99,0.0104762,537.106,537.106,185,3.1
100,0.01,537.106,537.106,186,3.1
